,name,desc,class,link
0,Solid Cotton Regular Fit Men's Joggers,"Rigo international are presenting crushing on joggers this season, especially this pair ! Pick these men's joggers and flaunt a cool and casual style.",Wash Clean Look Belt Loops No Stretchable No Hemline Straight Distress Clean  Knit Pockets 2 Pockets  India  Joggers  Casual Wear  Cotton  Regular  Solid Waist Rise Mid Rise  Regular  Single Closure Type Drawstring,https://www.shoppersstop.com/rigo-solid-cotton-regular-fit-men-s-joggers/p-A21JR09211027/colorChange/A21JR09211027_BLACK?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
1,Solid Cotton Blend Men's Shorts,., Shorts  India  Knee   1  Cotton Blend  Solid Closure Type Button  Slim Waist Rise Mid Rise Stretch Yes  Casual Wear,https://www.shoppersstop.com/intune-solid-cotton-blend-men-s-shorts/p-S23M-DESHON043/colorChange/S23M-DESHON043_INDIGO?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
2,Stripes Cotton Blend Regular Fit Men's T-Shirt,"Add this t-shirt to your basics collection. It is designed with multicolour stripes, has half-sleeves, has an easy button closure and comes with a straight hemline. Complete your look by pairing this t-shirt with blue jeans and sneakers.", India  Half   Regular  Stripes  Cotton Blend  Full   Nightwear Collar Regular Collar  Mens Design Metallic,https://www.shoppersstop.com/stop-stripes-cotton-blend-regular-fit-men-s-t-shirt/p-S22STSTRPL114/colorChange/S22STSTRPL114_WHITE?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
3,Stripes Cotton Regular Fit Men's T-Shirt,., India Category T-Shirt  Half   Regular Neckline Round Neck  Stripes  Cotton  Pack of 1  Casual Wear,https://www.shoppersstop.com/stop-stripes-cotton-regular-fit-men-s-t-shirt/p-S21187STRCW213C/colorChange/S21187STRCW213C_ORANGE?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
4,Solid Cotton Blend Men's T-Shirt,"Upgrade your everyday style with this stylish Solid Cotton Blend Men's T-Shirt. This navy men’s t-shirt features a solid pattern, a polo neck and short sleeves that add to its appeal. The cotton blend material and regular fit of this men's t-shirt promises ease of wear all through the day. Pair this men's t-shirt with blue jeans, a denim jacket and black sneakers.", India Category T-Shirt  Regular  Solid  Cotton Blend Collar Regular Collar ,https://www.shoppersstop.com/stop-solid-cotton-blend-men-s-t-shirt/p-S21187STRPOL06B/colorChange/S21187STRPOL06B_NAVY?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
5,Solid Cotton Lycra Slim Fit Men's T-Shirt,., Bangladesh  T-Shirts  Knit  Half   Slim Neckline Polo  Solid  Cotton Lycra  Single  Casual Wear,https://www.shoppersstop.com/calvin-klein-solid-cotton-lycra-slim-fit-men-s-t-shirt/p-SS23J323674PSXG/colorChange/SS23J323674PSXG_GREY?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
6,Solid Cotton Regular Fit Men's Shorts,., India  Single  100% Cotton  Regular  Active Wear,https://www.shoppersstop.com/infuse-solid-cotton-regular-fit-men-s-shorts/p-A21SETSHORTS023/colorChange/A21SETSHORTS023_BLUE?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
7,Solid Cotton Men's Shorts,Blend comfort with trendiness with these stylish cotton shorts by Stop. The elasticated waistband gives you ultimate comfort and convenience. Look and feel your best at home or at the beach., Shorts  India  Knee length  Single  Cotton  Solid  Regular  Casual Wear Collar Regular,https://www.shoppersstop.com/stop-solid-cotton-men-s-shorts/p-A22STSHORTS103/colorChange/A22STSHORTS103_RUST?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
8,Mid Wash Cotton Blend Karrot Fit Men's Jeans,"Grey, mid-wash, cotton blend jeans by Life. These jeans have a karrot fit, meaning they taper down at the bottom. They are mid-waist, full-length, have a button closure at the waist, and pockets to store your essentials. You can never go wrong with a pair of black jeans!", India Wash Mid Wash Waist Rise Mid Rise  Karrot  Cotton Blend Closure Type Button  Regular  Casual Wear  Solid  Jeans  Woven,https://www.shoppersstop.com/life-mid-wash-cotton-blend-karrot-fit-men-s-jeans/p-SS23AREX/colorChange/SS23AREX_GREY?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
9,Printed Cotton Blend Men's Lounge Set,"Get the Printed Cotton Blend Men's Lounge Set to stay snug throughout the day over the weekend. Ideal for resting, this lounge wear men’s set is made from cotton blend with a regular. Team it with easy-to wear flip-flops for a great look.", India  Full   Regular  Casual Wear  Sets  Cotton Blend  Printed ,https://www.shoppersstop.com/stop-printed-cotton-blend-men-s-lounge-set/p-S21187LNGST106/colorChange/S21187LNGST106_RED_MELANGE?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D16&totalResultVal=24600&searchPageType=category
