,name,desc,class,link
0,Solid V Neck Cotton Blend Women's Midi Dress,"Off-white, V-neck, cotton blend, midi-dress by Haute Curry. This dress has flared sleeves, button down detail at the front, a tie detail at the back, and is perfect for a summer brunch or casual day out.", Single  India  Midi Dress  Cotton Blend Neckline V Neck  Casual Wear  3/4   Regular  Solid  Calf   Woven,https://www.shoppersstop.com/haute-curry-solid-v-neck-cotton-blend-women-s-midi-dress/p-SS23HCDR23126/colorChange/SS23HCDR23126_OFF_WHITE?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
1,Printed Rayon Round Neck Women's Top,"Reach for this dazzling printed kaftan top from Infuse, designed to give you the ultimate comfort. Crafted with soft rayon, pair this piece with a white bottom-wear and sandals for a complete look.", India  Printed  Tops  Rayon Neckline Round Neck  Casual Wear  Half   Regular,https://www.shoppersstop.com/infuse-printed-rayon-round-neck-women-s-top/p-S22INEKF1480/colorChange/S22INEKF1480_RED?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
2,Embroidered Poly Blend Round Neck Womens Casual Wear Kurta,"Natural, poly-blend, round neck kurta by Infuse. This embroidered kurta is the star of every occasion. Pair it with light-toned bottoms and either silver or gold jewellery to really see it shine. The embroidery on the bodice is intricate and is sure to be a conversation starter.", Single  India  Kurtas  Poly Blend  Woven Neckline Round Neck  Casual Wear  3/4   Calf   Regular  Embroidered,https://www.shoppersstop.com/infuse-embroidered-poly-blend-round-neck-womens-casual-wear-kurta/p-A22INFLKU2284/colorChange/A22INFLKU2284_BEIGE?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
3,Embroidered Round Neck Viscose Blend Women's Kurta Pant Dupatta Set,"Off-white, embroidered, viscose blend, mandarin collar, kurta, pant, dupatta set by Kashish. This kurta has embroidery at the front bodice as well as on the dupatta. The sleeves are 3/4th length long along with the kurta being knee-length.", Pack of 3  India  Embroidered  Set  3/4   Viscose Blend Neckline Round Neck  Calf   Festive Wear  A-Line  Woven Dupatta Yes,https://www.shoppersstop.com/kashish-embroidered-round-neck-viscose-blend-women-s-kurta-pant-dupatta-set/p-SS23KSSE65F/colorChange/SS23KSSE65F_OFF_WHITE?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
4,Floral Rayon Round Neck Women's Maxi Dress,"Infuse brings a chic and elegant dress with green base tones and floral prints. This gorgeous maxi dress is cinched at the waist with a drawstring, and it showcases your figure wonderfully when paired with stiletto heels and stockings.", India  Maxi Dress  Rayon Neckline Round Neck  Casual Wear  3/4   Regular  Floral  Calf ,https://www.shoppersstop.com/infuse-floral-rayon-round-neck-women-s-maxi-dress/p-A21INFKUS43/colorChange/A21INFKUS43_TEAL?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
5,Printed Round Neck Rayon Womens Kurta Palazzo Set,"Green, printed, rayon kurta set by Infuse. This set comes with a printed kurta with 3/4th sleeves and a round neckline. The pants are vertical striped, straight fit, with pockets and a thick elastic waistband.", Single  India  Printed  Kurta Palazzo Set  3/4   Rayon Neckline Round Neck  Calf   Casual Wear  Regular  Woven Waist Rise Mid Rise Closure Type Elastic,https://www.shoppersstop.com/infuse-printed-round-neck-rayon-womens-kurta-palazzo-set/p-S22INKPS1465/colorChange/S22INKPS1465_GREEN?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
6,Printed Mandarin Collar Straight Fit Women's Kurta,Stop Knee  Printed Straight Kurta With 3/4Th  And Mandarin Collar For Casual Wear, India  Kurtas  Cotton  Woven Silouhette Straight Neckline Mandarin  Casual Wear  3/4   Knee   Regular  Printed,https://www.shoppersstop.com/stop-printed-mandarin-collar-straight-fit-women-s-kurta/p-A21STEPP23/colorChange/A21STEPP23_LIME_GREEN?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
7,Printed Cotton V Neck Women's Kurta,Sea green floral printed straight kurta with 3/4th bell sleeve and v neck collared detail with sequin embroidery at the collar and sleeve hem,Pockets No Pocket  Single  India  Kurtas  Cotton  Woven Neckline V Neck  Casual Wear  3/4  Dupatta No  Regular  Printed,https://www.shoppersstop.com/varanga-printed-cotton-v-neck-women-s-kurta/p-ICVKUR1074/colorChange/ICVKUR1074_SEA_GREEN?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
8,Printed Organza V Neck Women's Dress,Myshka comes with its trendy dynamic fitting women Maxi Dress with its unmatchable comfort level and unique colour combination which provide the feel of uniqueness and comfortness to its owner. Myshka have designed this women Maxi Dress Settaking care the needs of its customer in mind. Myshka never compromises with the quality of products.Myshka is one of the biggest women Maxi Dress Brand in India that provide high quality women Maxi Dress very Reasonable And affordable Cost.,Closure Type No Closure  India  Dress  Organza Type of work Printed  Casual Wear  3/4   Regular  Printed  Regular  Knit Dupatta No,https://www.shoppersstop.com/myshka-printed-organza-v-neck-women-s-dress/p-S22MY678A/colorChange/S22MY678A_BROWN?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
9,Embroidered Rayon Round Neck Women's Regular Tunic,Stop Short  Embroidered Regular Tunic With 3/4Th  And Regular Neck For Casual Wear, Tunic  Casual Wear  Embroidered  Women  Above Knee  India  Rayon  Woven Silouhette Regular Neckline Round Neck  3/4 ,https://www.shoppersstop.com/stop-embroidered-rayon-round-neck-women-s-regular-tunic/p-A21STSK16/colorChange/A21STSK16_TEAL?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
10,Embroidered Silk Blend Round Neck Women's Kurta Pant Dupatta Set,"Pink georgette embroidered kurta paired with tonal bottom and dupatta with four side traingle gota lace, kurta with round neck and with three quarter sleeves, straight kurta with side slits", Single  India  Embroidered  Kurta Pant Dupatta Set  3/4   Silk Blend Neckline Round Neck  Regular  Casual Wear  Regular  Woven Dupatta Yes Pockets No Pocket,https://www.shoppersstop.com/varanga-embroidered-silk-blend-round-neck-women-s-kurta-pant-dupatta-set/p-VSKD31007UP1147/colorChange/VSKD31007UP1147_PINK?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
11,Floral Polyester Round Neck Womens Flared Lehenga Choli Set,"Premium Collection By Janasya. Look And Feel Beautiful In This Uniquely Designed Ready To Wear Lehenga Choli From Janasya. The White Color Blouse Is Lined, Has Concealed Zipper Closure, Round Neckline Detailed With Embroidery And Highlighted By Beads And Is Princess Cut With Half . The Floral Print Panelled White Lehenga Has Drawstring And Concealed Zipper Closure With Hand-Made Tassels And Gold Foil Print Border. This Set Comes With A Solid Muslin Blue Color Dupatta Which Has Weaved Border. Wear This Set With Heavy Jhumkas, Jeweled Hairpins And Embellished Sandals To Stand Out From Crowd.", India  Lehenga Choli Set  Half   Polyester Neckline Round Neck Silouhette Flare  Crop   Festive Wear  Woven,https://www.shoppersstop.com/janasya-floral-polyester-round-neck-womens-flared-lehenga-choli-set/p-A21J0238LCD/colorChange/A21J0238LCD_WHITE?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
12,Embroidered Silk Blend Round Neck Womens Kurta Trouser Dupatta Set,"Purple embroidered kurta paired with tonal straight bottom and dupatta, kurta has round neck and three quarter sleeves, straight kurta with side slits", Single Sleeve Style Designer   India  Embroidered Wash Mid Wash  Kurta Trouser Dupatta Set  3/4   Silk Blend Neckline Round Neck  Regular  Festive Wear  Regular  Woven Dupatta Yes  Women Collar Regular Collar Hemline Straight Pockets No Pocket Waist Rise Mid Rise Closure Type Elasticated,https://www.shoppersstop.com/varanga-embroidered-silk-blend-round-neck-womens-kurta-trouser-dupatta-set/p-VSKD2470VNDU079/colorChange/VSKD2470VNDU079_PURPLE?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
13,Printed Round Neck Rayon Womens Kurta Palazzo Set,"Pink, printed, rayon kurta set by Infuse. This set comes with a printed kurta with 3/4th sleeves and a round neckline. The pants are vertical striped, straight fit, with pockets and a thick elastic waistband.", Single  India  Printed  Kurta Palazzo Set  3/4   Rayon Neckline Round Neck  Calf   Casual Wear  Regular  Woven Waist Rise Mid Rise Closure Type Elastic,https://www.shoppersstop.com/infuse-printed-round-neck-rayon-womens-kurta-palazzo-set/p-S22INKPS1464/colorChange/S22INKPS1464_PINK?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D1&totalResultVal=14644&searchPageType=category
