,name,desc,class,link
0,Printed Square Neck Rayon Women's Maxi Dress,"Flowy and breezy, this off-shoulder maxi dress for women from Infuse is made from soft rayon fabric, which is perfect during warm weather. It comes with half sleeves with shirred detailing, and it also has a tiered hem.", Single  India  Rayon  Casual Wear  Woven  Short  Neckline Square Neck  Maxi Dress  Regular  Printed  Ankle ,https://www.shoppersstop.com/infuse-printed-square-neck-rayon-women-s-maxi-dress/p-A22INFLWD2140/colorChange/A22INFLWD2140_GREEN?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
1,Printed V-Neck Polyester Womens Casual Dress,., India  Polyester  Casual Wear  Short  Neckline V Neck  Dress  Regular  Printed  Midi  Women,https://www.shoppersstop.com/marie-claire-printed-v-neck-polyester-women-s-casual-dress/p-S21MC2208MULTI/colorChange/S21MC2208MULTI_MULTI?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
2,Printed Polyester Round Neck Women's Maxi Dress,Latin quarters present a beautiful dress that makes you very comfortable and gorgeous. This product is made from polyester and finished in an attractive brown colors., India  Polyester  Casual Wear  Woven  Sleeveless Neckline Round Neck  Maxi Dress  Regular  Printed  Regular Silouhette Regular  Women,https://www.shoppersstop.com/latin-quarters-printed-polyester-round-neck-women-s-maxi-dress/p-AW22LQD9513/colorChange/AW22LQD9513_MAROON?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
3,Animal Print Chiffon High Neck Women's Crop Top,"Explore the collection of beautifully designed western wear from KIBO on SHOPPERS-STOP. Each piece is elegently crafted and will surely add your wardrobe. KIBO as a brand brings you quality and affordibility, we take pride in our commitment to maintaining quality standards in each peice manufactured by us.", Single Hemline Straight Sleeve Style Balloon   Tops  India  Chiffon  Woven  Full   Casual Wear  Animal Print Neckline High Neck  Crop  Closure Type Button  Relaxed Wash Clean Look  Women,https://www.shoppersstop.com/kibo-animal-print-chiffon-high-neck-women-s-crop-top/p-A22LVT1147A/colorChange/A22LVT1147A_BROWN?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
4,Floral Off Shoulder Rayon Women's Knee Length Dress,"Add an oomph to your daily casual wear collection with this knee-length women's dress from the house of Infuse that has an all-over floral print and is made from rayon fabric. It includes a square neckline, a shirred front, a tiered hemline, and half sleeves.", Single  India  Rayon  Casual Wear  Woven  Short  Neckline Off Shoulder  Knee  Dress  Regular  Floral  Knee ,https://www.shoppersstop.com/infuse-floral-off-shoulder-rayon-women-s-knee-length-dress/p-A22INLWDR2212/colorChange/A22INLWDR2212_MUSTARD?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
5,Mid Rise Cotton Blend Regular Fit Women's Jeans,., Single  India  Cotton Blend  Regular Waist Rise Mid Rise  Full   Jeans Wash Mid Wash Pockets 5 Pockets  Solid  Casual Wear Closure Type Zipper  Woven,https://www.shoppersstop.com/infuse-mid-rise-cotton-blend-regular-fit-women-s-jeans/p-INF001/colorChange/INF001_BLACK?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
6,Printed Rayon V Neck Women's Strappy Midi Dress,"This dress from Infuse is durable and stylish, making it a must-have item. Match this printed navy piece with an incredible statement bag and high heels to maximise your next lunch look.", Single  India  Rayon  Casual Wear  Woven  Sleeveless Neckline V Neck  Midi Dress  Regular  Printed  Knee ,https://www.shoppersstop.com/infuse-printed-rayon-v-neck-women-s-strappy-midi-dress/p-S22INKU354/colorChange/S22INKU354_NAVY?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
7,Solid Polyester Round Neck Women's Maxi Dress,Latin Quarters present a beautiful Dress that makes you very comfortable and gorgeous. This product is made from Polyester and finished in an attractive Blue Navy Color., India  Polyester  Casual Wear  Woven  Short  Neckline Round Neck  Maxi Dress  Regular  Solid  Regular Silouhette Regular  Women,https://www.shoppersstop.com/latin-quarters-solid-polyester-round-neck-women-s-maxi-dress/p-AW22LQD9337/colorChange/AW22LQD9337_NAVY_BLUE?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
8,Womens Band Neck Solid Top,"Embrace your inner rebel chic as you step out in style, wearing this top from Rare. Tailored using fine quality of fabric, it will keep you at ease all day long. Designed to perfection, it has three quarter sleeves, band neck and comes with a solid pattern which makes it look appealing.", India  Polyester  Woven  Regular  Back Style Collared  Casual Wear  Solid Neckline Round Neck Sleeve  Three Quarter   Regular Silouhette Regular  Type Solid  Regular Material Polyester,https://www.shoppersstop.com/rare-womens-band-neck-solid-top/p-203399459/colorChange/203399459_MAROON?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
9,Regular Fit Cotton Womnes Casual Wear Shorts,Kick your style with these in-style shorts from Infuse. Pair these beautiful shorts with a sleek tank top and gladiator heels for a super chic look., Single  India  Shorts  Cotton Waist Rise Mid Rise Pockets 5 Pockets  Solid Closure Type Zipper  Woven  Above Knee  Casual Wear  Regular Wash Light Wash,https://www.shoppersstop.com/infuse-regular-fit-cotton-womnes-casual-wear-shorts/p-INFLWD-18/colorChange/INFLWD-18_STONE?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
