,name,desc,class,link
0,Textured Wool Slim Fit Mens Jacket,AS MODERN BLAZER TEXTURED BLZR, India  Wool  Casual Wear  Slim  Textured Closure Type Button  Single  Full  Collar Regular Collar  Jacket,https://www.shoppersstop.com/allen-solly-textured-wool-slim-fit-mens-jacket/p-A22BZMSLFZ43090/colorChange/A22BZMSLFZ43090_GREY?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
1,Solid Cotton Blend Men's Lounge Shorts,"Flaunt your off duty look on a hot summer day with the Solid Cotton Blend Men's Lounge Shorts. Maroon in colour, these men’s shorts feature a tasteful textured pattern. Made from cotton blend, these men’s shorts feature a comfy regular fit. Style these with a simple T-shirt and white sneakers for a complete look.", India  Short  Regular  Casual Wear  Shorts  Single  Cotton Blend  Textured ,https://www.shoppersstop.com/stop-solid-cotton-blend-men-s-lounge-shorts/p-S21187SHORT103C/colorChange/S21187SHORT103C_MAROON?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
2,Solid Cotton Stretch Men's Shorts,Create a posh look in casual outfits with these knee-length men's shorts with the folded hemline by Stop. The pastel shade complemented by five utility pockets makes it an obvious choice., India  Knee   Regular  Woven  Casual Wear Waist Rise Mid Rise  Shorts  Single  Cotton Stretch  Solid,https://www.shoppersstop.com/stop-solid-cotton-stretch-men-s-shorts/p-A22FLXWSTSHSE/colorChange/A22FLXWSTSHSE_FOREST?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
3,Mid Wash Cotton Blend Slim Fit Men's Jeans,"Personalize your style with this classic slim-fit pair of jeans with button closure for men. Immaculately crafted from cotton blend fabric with a touch of easy stretch, it keeps you super comfortable. Designed with Mid wash finish and regular length, it lends you the look of a rockstar.", India Wash Mid Wash Waist Rise Mid Rise  Slim  Cotton Blend Closure Type Button  Regular  Casual Wear  Solid Collar Regular  Jeans,https://www.shoppersstop.com/life-mid-wash-cotton-blend-slim-fit-men-s-jeans/p-DNCOSY/colorChange/DNCOSY_MID_STONE?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
4,Solid Cotton Blend Regular Fit Men's Casual Shirt,., Knit  Shirts  India  Cotton Blend Collar Mandarin Collar  Full   Regular  Solid  Single  Casual Wear Neckline Mandarin,https://www.shoppersstop.com/riag-solid-cotton-blend-regular-fit-men-s-casual-shirt/p-S23CNFSHGREYST/colorChange/S23CNFSHGREYST_GREY?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
5,Graphic Cotton Regular Fit Men's T-Shirt,"Strike the right blend between style and comfort with this trendy half-sleeved, regular-fit, round-neck graphic men's t-shirt from Infuse. You can always go right by teaming it up with a pair of denim pants and sneakers.", India  Half   Regular  Graphic  Cotton  Single  Regular  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/infuse-graphic-cotton-regular-fit-men-s-t-shirt/p-A22INMKT1596/colorChange/A22INMKT1596_MUSTARD?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
6,Printed Poly Cotton Regular Fit Men's T-Shirt,Create a style statement with Infuse printed poly cotton regular fit men's t-shirt. This item can be paired with fitted jeans for a clean look or lounge shorts for casual weekend outing wear., India  Half   Regular  Printed  Poly Cotton  Single  Regular  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/infuse-printed-poly-cotton-regular-fit-men-s-t-shirt/p-A22INMT1417/colorChange/A22INMT1417_WHITE?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
7,Solid Poly Viscose Men's Festive Wear Pattani Suit,., India  Full  Category Indianwear  Poly Viscose  Festive Wear  Solid  Slim,https://www.shoppersstop.com/bandeya-solid-poly-viscose-men-s-festive-wear-pattani-suit/p-A21SULFPTSET-02/colorChange/A21SULFPTSET-02_WHITE?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
8,Striped Cotton Regular Fit Men's T-Shirt,"Keep up with the changing fashion trends by opting for this breezy Striped Cotton Regular  Men's T-Shirt. Designed in a striped pattern, this t-shirt for men comes with a henley neck and half sleeves. Crafted from soft and breathable cotton, this white t-shirt for men is designed with a regular fit. Wear this men's t-shirt with a pair of distressed jeans and lace-up sneakers.", India Collar Regular  Half   Regular Neckline Henley  Stripes  Cotton  Pack of 1  Casual Wear,https://www.shoppersstop.com/fratini-striped-cotton-regular-fit-men-s-t-shirt/p-S21831STRPO15WH/colorChange/S21831STRPO15WH_WHITE?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
9,Solid Poly Cotton Regular Fit Men's T-Shirt,., India Collection Casual Wear Stretch Non-Stretch  Full   Regular Neckline Round Neck  Solid  Poly Cotton  Pack of 1   Casual Wear  Mens,https://www.shoppersstop.com/life-solid-poly-cotton-regular-fit-men-s-t-shirt/p-A21LDHMHFS115M/colorChange/A21LDHMHFS115M_MAROON?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
